time,buy_units,total_buy,sell_units,total_sell,initial_money
107.0,5.0,8692.5,,,5438.540771484375
109.0,1.0,1804.030029296875,,,3634.5107421875
110.0,5.0,9303.150024414062,,,-5668.6392822265625
117.0,,,5.0,9543.9501953125,3875.3109130859375
118.0,,,5.0,9590.94970703125,13466.260620117188
119.0,5.0,9556.500244140625,,,3909.7603759765625
120.0,5.0,9569.500122070312,,,-5659.73974609375
127.0,,,5.0,9695.0,4035.26025390625
128.0,5.0,9714.550170898438,,,-5679.2899169921875
131.0,,,5.0,10087.050170898438,4407.76025390625
133.0,5.0,10055.0,,,-5647.23974609375
134.0,,,5.0,10104.949951171875,4457.710205078125
136.0,,,5.0,9960.150146484375,14417.8603515625
139.0,,,2.0,3971.260009765625,18389.120361328125
140.0,1.0,1994.489990234375,,,16394.63037109375
141.0,,,1.0,2000.81005859375,18395.4404296875
142.0,1.0,1973.8199462890625,,,16421.620483398438
144.0,,,1.0,1912.449951171875,18334.070434570312
147.0,5.0,9276.599731445312,,,9057.470703125
148.0,,,5.0,9116.199951171875,18173.670654296875
149.0,5.0,8825.650024414062,,,9348.020629882812
150.0,,,5.0,8939.149780273438,18287.17041015625
153.0,5.0,9037.899780273438,,,9249.270629882812
155.0,,,5.0,9121.699829101562,18370.970458984375
158.0,5.0,8962.849731445312,,,9408.120727539062
160.0,,,5.0,9006.900024414062,18415.020751953125
163.0,5.0,8748.099975585938,,,9666.920776367188
164.0,5.0,8844.349975585938,,,822.57080078125
166.0,,,5.0,8821.25,9643.82080078125
168.0,,,5.0,8881.4501953125,18525.27099609375
170.0,5.0,9003.099975585938,,,9522.171020507812
171.0,,,5.0,9203.599853515625,18725.770874023438
172.0,1.0,1833.510009765625,,,16892.260864257812
175.0,,,1.0,1822.989990234375,18715.250854492188
177.0,5.0,9196.699829101562,,,9518.551025390625
178.0,,,5.0,9039.199829101562,18557.750854492188
179.0,1.0,1822.550048828125,,,16735.200805664062
180.0,,,1.0,1817.4599609375,18552.660766601562
182.0,5.0,8970.800170898438,,,9581.860595703125
184.0,5.0,8708.049926757812,,,873.8106689453125
185.0,,,5.0,8841.649780273438,9715.46044921875
186.0,,,5.0,8699.199829101562,18414.660278320312
188.0,5.0,8679.550170898438,,,9735.110107421875
189.0,5.0,8678.250122070312,,,1056.8599853515625
190.0,,,5.0,8566.14990234375,9623.009887695312
191.0,5.0,8622.100219726562,,,1000.90966796875
192.0,,,5.0,8698.250122070312,9699.159790039062
193.0,1.0,1732.6600341796875,,,7966.499755859375
194.0,5.0,8527.550048828125,,,-561.05029296875
202.0,,,5.0,8787.550048828125,8226.499755859375
204.0,,,5.0,8828.64990234375,17055.149658203125
205.0,1.0,1762.1700439453125,,,15292.979614257812
206.0,,,2.0,3561.56005859375,18854.539672851562
207.0,1.0,1761.3299560546875,,,17093.209716796875
208.0,,,1.0,1777.0799560546875,18870.289672851562
209.0,5.0,8813.5498046875,,,10056.739868164062
210.0,5.0,8899.949951171875,,,1156.7899169921875
213.0,,,5.0,9023.300170898438,10180.090087890625
216.0,,,5.0,8940.999755859375,19121.08984375
222.0,5.0,8697.449951171875,,,10423.639892578125
224.0,5.0,8763.9501953125,,,1659.689697265625
231.0,,,5.0,9004.000244140625,10663.68994140625
232.0,1.0,1781.5999755859375,,,8882.089965820312
233.0,,,5.0,8849.7998046875,17731.889770507812
235.0,5.0,8702.39990234375,,,9029.489868164062
237.0,5.0,8747.550048828125,,,281.9398193359375
238.0,,,5.0,8696.0498046875,8977.989624023438
239.0,1.0,1748.719970703125,,,7229.2696533203125
241.0,1.0,1760.93994140625,,,5468.3297119140625
242.0,5.0,8846.0498046875,,,-3377.7200927734375
247.0,,,5.0,8965.0,5587.2799072265625
248.0,5.0,8946.0498046875,,,-3358.7698974609375
249.0,,,5.0,9343.85009765625,5985.0802001953125
250.0,1.0,1869.800048828125,,,4115.2801513671875
252.0,5.0,9239.199829101562,,,-5123.919677734375
258.0,,,5.0,9505.250244140625,4381.33056640625
259.0,5.0,9415.800170898438,,,-5034.4696044921875
