Date,Open,High,Low,Close,Adj Close,Volume
2019-06-19,1286.900024,1302.000000,1262.599976,1277.349976,1270.315186,6625604
2019-06-20,1280.000000,1300.000000,1278.000000,1296.750000,1289.608398,4914012
2019-06-21,1295.949951,1296.000000,1275.550049,1279.500000,1272.453369,10623098
2019-06-24,1272.150024,1276.449951,1257.099976,1262.400024,1255.447632,5150998
2019-06-25,1258.900024,1298.000000,1254.250000,1295.849976,1288.713379,6842363
2019-06-26,1291.000000,1304.599976,1286.349976,1294.150024,1287.022705,5299942
2019-06-27,1293.150024,1296.900024,1271.000000,1274.150024,1267.132935,11385972
2019-06-28,1277.099976,1282.849976,1248.650024,1253.099976,1246.198730,8659721
2019-07-01,1258.050049,1272.650024,1246.449951,1268.849976,1261.862061,6162080
2019-07-02,1273.949951,1281.000000,1263.300049,1278.500000,1271.458984,4638751
2019-07-03,1282.900024,1286.500000,1275.050049,1282.550049,1275.486694,4026032
2019-07-04,1281.400024,1291.000000,1280.000000,1284.000000,1276.928589,4275148
2019-07-05,1285.099976,1290.500000,1260.000000,1263.349976,1256.392334,4995344
2019-07-08,1258.000000,1268.099976,1248.199951,1252.050049,1245.154663,6404544
2019-07-09,1248.949951,1283.500000,1245.500000,1280.099976,1273.050049,8016757
2019-07-10,1280.050049,1289.349976,1268.699951,1278.849976,1271.807007,5494315
2019-07-11,1287.000000,1289.800049,1279.300049,1281.550049,1274.492188,3935460
2019-07-12,1283.000000,1300.000000,1278.050049,1280.500000,1273.447876,7174054
2019-07-15,1285.000000,1289.500000,1270.349976,1276.099976,1269.072144,4873164
2019-07-16,1279.949951,1294.900024,1277.050049,1293.000000,1285.879028,4604019
2019-07-17,1294.300049,1297.000000,1280.000000,1281.849976,1274.790405,4334958
2019-07-18,1282.000000,1286.400024,1258.000000,1261.849976,1254.900635,5459896
2019-07-19,1268.199951,1272.949951,1242.699951,1249.000000,1242.121338,7468515
2019-07-22,1251.000000,1284.500000,1227.300049,1280.500000,1273.447876,13300153
2019-07-23,1285.000000,1293.900024,1260.400024,1273.550049,1266.536255,9287951
2019-07-24,1273.500000,1278.800049,1253.550049,1259.099976,1252.165771,6943982
2019-07-25,1264.000000,1269.050049,1227.000000,1231.500000,1224.717773,9968545
2019-07-26,1231.500000,1242.500000,1210.000000,1213.800049,1207.115356,9320481
2019-07-29,1216.900024,1222.000000,1205.099976,1210.949951,1204.280884,8058035
2019-07-30,1213.949951,1220.000000,1175.949951,1180.900024,1174.396484,9533344
2019-07-31,1175.750000,1185.000000,1162.400024,1166.250000,1159.827148,9705619
2019-08-01,1163.400024,1188.199951,1150.349976,1180.250000,1173.750000,10344862
2019-08-02,1175.699951,1198.250000,1162.099976,1184.349976,1184.349976,10865385
2019-08-05,1167.000000,1167.000000,1128.000000,1143.349976,1143.349976,13897461
2019-08-06,1134.750000,1149.599976,1122.000000,1128.300049,1128.300049,13288909
2019-08-07,1126.500000,1138.550049,1103.099976,1109.400024,1109.400024,11588879
2019-08-08,1108.349976,1158.000000,1095.300049,1152.349976,1152.349976,14262936
2019-08-09,1161.849976,1175.500000,1152.300049,1162.099976,1162.099976,10043949
2019-08-13,1233.150024,1302.800049,1226.000000,1274.750000,1274.750000,47923444
2019-08-14,1304.000000,1304.449951,1280.349976,1288.250000,1288.250000,14487137
2019-08-16,1291.199951,1291.800049,1273.000000,1278.000000,1278.000000,10047496
2019-08-19,1281.050049,1296.800049,1280.000000,1292.599976,1292.599976,7459859
2019-08-20,1289.800049,1292.599976,1272.599976,1275.949951,1275.949951,6843460
2019-08-21,1275.650024,1278.650024,1266.500000,1270.949951,1270.949951,4881553
2019-08-22,1270.949951,1271.000000,1238.900024,1246.750000,1246.750000,6414937
2019-08-23,1239.000000,1284.000000,1226.500000,1275.849976,1275.849976,9741262
2019-08-26,1294.000000,1294.000000,1259.000000,1266.800049,1266.800049,8778739
2019-08-27,1285.000000,1285.000000,1261.199951,1274.849976,1274.849976,12984396
2019-08-28,1273.750000,1281.000000,1256.050049,1263.300049,1263.300049,5305639
2019-08-29,1256.449951,1260.250000,1235.300049,1241.750000,1241.750000,8635974
2019-08-30,1245.500000,1254.400024,1221.000000,1248.550049,1248.550049,11308120
2019-09-03,1242.250000,1243.000000,1200.000000,1206.400024,1206.400024,8563009
2019-09-04,1200.550049,1205.250000,1186.050049,1201.150024,1201.150024,15063355
2019-09-05,1206.800049,1213.199951,1193.300049,1198.599976,1198.599976,10512763
2019-09-06,1203.000000,1229.000000,1195.250000,1222.500000,1222.500000,10600234
2019-09-09,1220.650024,1233.000000,1213.150024,1222.199951,1222.199951,5370758
2019-09-11,1222.500000,1240.000000,1222.500000,1234.400024,1234.400024,5544468
2019-09-12,1235.000000,1240.449951,1205.699951,1210.349976,1210.349976,5431139
2019-09-13,1212.000000,1228.500000,1206.900024,1225.599976,1225.599976,5919260
2019-09-16,1189.000000,1219.099976,1186.099976,1210.750000,1210.750000,9393731
2019-09-17,1211.000000,1211.000000,1193.500000,1197.449951,1197.449951,7150435
2019-09-18,1204.949951,1216.300049,1197.199951,1205.699951,1205.699951,6827281
2019-09-19,1207.849976,1209.699951,1172.650024,1179.050049,1179.050049,6293454
2019-09-20,1187.949951,1269.900024,1174.300049,1254.349976,1254.349976,22019674
2019-09-23,1274.150024,1281.000000,1235.000000,1239.199951,1239.199951,9879751
2019-09-24,1243.599976,1298.800049,1242.750000,1278.699951,1278.699951,15982067
2019-09-25,1284.000000,1295.000000,1268.849976,1279.550049,1279.550049,8316894
2019-09-26,1292.000000,1298.800049,1283.500000,1296.800049,1296.800049,8389212
2019-09-27,1292.500000,1315.000000,1284.000000,1309.050049,1309.050049,8712980
2019-09-30,1310.000000,1335.750000,1305.550049,1332.250000,1332.250000,11549746
2019-10-01,1337.000000,1342.000000,1293.300049,1304.900024,1304.900024,8192597
2019-10-03,1286.000000,1314.699951,1281.300049,1311.050049,1311.050049,6183107
2019-10-04,1319.900024,1328.599976,1303.849976,1308.099976,1308.099976,6853954
2019-10-07,1308.099976,1320.800049,1301.699951,1310.099976,1310.099976,4599818
2019-10-09,1308.699951,1329.949951,1292.500000,1324.750000,1324.750000,8040938
2019-10-10,1325.000000,1369.000000,1321.000000,1362.750000,1362.750000,16003744
2019-10-11,1363.699951,1365.599976,1336.550049,1352.599976,1352.599976,7587648
2019-10-14,1364.949951,1364.949951,1350.849976,1358.000000,1358.000000,6123412
2019-10-15,1362.500000,1370.000000,1354.300049,1364.150024,1364.150024,4422075
2019-10-16,1369.900024,1379.650024,1363.699951,1372.349976,1372.349976,8870701
2019-10-17,1375.000000,1399.000000,1372.000000,1396.500000,1396.500000,7332464
