Date,Open,High,Low,Close,Adj Close,Volume
2019-10-23,133.520004,134.570007,132.699997,134.380005,131.438858,3610900
2019-10-24,134.830002,135.070007,133.300003,134.070007,131.135651,2598500
2019-10-25,134.119995,135.929993,134.100006,135.440002,132.475662,2579100
2019-10-28,136.000000,136.630005,135.449997,135.970001,132.994049,3225700
2019-10-29,135.419998,135.570007,133.440002,133.820007,130.891113,4160700
2019-10-30,133.830002,135.279999,133.199997,135.250000,132.289810,2252700
2019-10-31,135.110001,135.250000,133.229996,133.729996,130.803085,3412100
2019-11-01,134.500000,135.559998,134.089996,135.529999,132.563690,3089800
2019-11-04,136.240005,137.740005,136.229996,137.669998,134.656845,3335400
2019-11-05,137.800003,138.759995,137.630005,137.889999,134.872040,3015000
2019-11-06,138.000000,138.779999,137.550003,138.779999,135.742554,4477300
2019-11-07,137.869995,139.139999,137.580002,137.690002,136.267075,4073800
2019-11-08,137.580002,137.610001,136.160004,137.610001,136.187897,2278400
2019-11-11,137.199997,137.199997,135.000000,135.470001,134.070023,2568000
2019-11-12,135.869995,136.660004,135.020004,135.589996,134.188782,3046500
2019-11-13,135.389999,135.580002,133.850006,134.479996,133.090240,2918400
2019-11-14,134.130005,134.330002,133.330002,134.000000,132.615204,4231300
2019-11-15,134.389999,135.119995,134.029999,134.399994,133.011078,3262500
2019-11-18,134.300003,134.479996,133.229996,134.309998,132.921997,3210400
2019-11-19,134.880005,135.380005,134.460007,134.520004,133.129837,2995000
2019-11-20,134.059998,134.460007,132.750000,133.199997,131.823471,4138200
2019-11-21,133.399994,134.169998,132.979996,133.839996,132.456863,3345300
2019-11-22,134.190002,134.649994,133.589996,134.339996,132.951691,3297500
2019-11-25,134.470001,136.000000,134.350006,135.970001,134.564850,2590100
2019-11-26,136.149994,136.149994,134.770004,135.089996,133.693939,3793200
2019-11-27,135.350006,135.710007,133.619995,133.770004,132.387589,3280900
2019-11-29,133.600006,134.520004,133.029999,134.449997,133.060562,1825300
2019-12-02,134.449997,134.500000,132.479996,132.910004,131.536484,3067100
2019-12-03,132.000000,132.440002,130.690002,132.119995,130.754639,3642500
2019-12-04,132.860001,133.679993,131.960007,131.990005,130.625992,3530000
2019-12-05,132.990005,133.240005,131.630005,131.910004,130.546814,3595400
2019-12-06,132.750000,133.889999,132.699997,133.220001,131.843277,3437500
2019-12-09,133.350006,134.589996,133.259995,133.919998,132.536041,2968500
2019-12-10,133.919998,134.839996,133.559998,133.910004,132.526138,3480400
2019-12-11,134.110001,134.509995,133.669998,133.759995,132.377686,3953300
2019-12-12,133.699997,135.660004,133.660004,135.320007,133.921570,4824100
2019-12-13,134.750000,135.500000,134.009995,134.210007,132.823044,2535000
2019-12-16,134.940002,135.449997,133.850006,134.130005,132.743866,3049200
2019-12-17,134.279999,134.690002,133.460007,134.220001,132.832932,2907200
2019-12-18,134.550003,135.000000,134.149994,134.410004,133.020981,3101800
2019-12-19,134.460007,134.729996,134.190002,134.559998,133.169418,3866500
2019-12-20,135.740005,136.419998,134.949997,135.589996,134.188782,7111800
2019-12-23,135.779999,136.149994,135.000000,135.550003,134.149200,2803200
2019-12-24,135.610001,135.619995,134.610001,134.979996,133.585083,1202100
2019-12-26,134.979996,135.309998,134.649994,134.910004,133.515808,2129700
2019-12-27,135.000000,135.750000,134.869995,135.270004,133.872086,2752200
2019-12-30,135.199997,135.300003,132.500000,132.809998,131.437500,4118900
2019-12-31,132.529999,134.119995,132.399994,134.039993,132.654785,3777500
2020-01-02,135.000000,135.919998,134.770004,135.419998,134.020538,3148600
2020-01-03,133.570007,134.860001,133.559998,134.339996,132.951691,2373700
2020-01-06,133.419998,134.240005,133.199997,134.100006,132.714188,2425500
2020-01-07,133.690002,134.960007,133.399994,134.190002,132.803253,3090800
2020-01-08,134.509995,135.860001,133.919998,135.309998,133.911667,4346000
2020-01-09,135.740005,136.789993,135.309998,136.740005,135.326904,3730600
2020-01-10,137.000000,137.869995,136.309998,136.690002,135.277420,3255400
2020-01-13,135.479996,136.639999,135.070007,136.600006,135.188354,3531000
2020-01-14,136.279999,137.139999,135.550003,135.820007,134.416412,3681000
2020-01-15,136.000000,138.059998,135.710007,136.619995,135.208130,4045900
2020-01-16,137.320007,138.190002,137.009995,137.979996,136.554077,4320900
2020-01-17,136.539993,138.330002,136.160004,138.309998,136.880661,5623300
2020-01-21,137.809998,139.350006,137.600006,139.169998,137.731781,7244100
2020-01-22,143.320007,145.789993,142.550003,143.889999,142.403000,16470400
2020-01-23,144.199997,144.410004,142.149994,142.869995,141.393539,5657800
2020-01-24,143.389999,143.919998,140.460007,140.559998,139.107422,5580200
2020-01-27,138.500000,140.070007,138.100006,138.619995,137.187454,4166600
2020-01-28,139.500000,140.470001,138.750000,139.550003,138.107864,3451600
2020-01-29,139.169998,139.580002,137.600006,137.690002,136.267075,3053800
2020-01-30,136.759995,136.970001,134.970001,136.770004,135.356583,5057900
2020-01-31,142.899994,144.050003,140.789993,143.729996,142.244659,18994600
2020-02-03,144.250000,147.279999,143.899994,146.270004,144.758408,8887500
2020-02-04,147.779999,149.380005,146.880005,149.110001,147.569061,5621000
2020-02-05,150.210007,157.440002,150.149994,156.330002,154.714447,14386800
2020-02-06,156.820007,158.750000,155.419998,156.759995,155.139999,8400500
